Date,Open,High,Low,Close,Adj Close,Volume,dividend_amount,split_coefficient
2012-01-18,129.31,130.84,129.08,130.77,108.991329965,162901737,0.0,1.0
2012-01-19,131.22,131.57,130.8,131.46,109.566416129,125972329,0.0,1.0
2012-01-20,131.24,131.95,130.92,131.95,109.974810651,138079453,0.0,1.0
2012-01-23,131.51,132.25,130.98,131.61,109.69143486,129162435,0.0,1.0
2012-01-24,130.8,131.5,130.6,131.46,109.566416129,102701099,0.0,1.0
2012-01-25,131.26,132.87,130.75,132.56,110.483220159,198222535,0.0,1.0
2012-01-26,133.15,133.4,131.36,131.88,109.916468577,184542356,0.0,1.0
2012-01-27,131.24,132.05,131.15,131.82,109.866461084,135185159,0.0,1.0
2012-01-30,130.51,131.44,130.06,131.37,109.49140489,146747212,0.0,1.0
2012-01-31,132.02,132.18,130.68,131.32,109.44973198,157082268,0.0,1.0
2012-02-01,132.29,133.14,132.13,132.47,110.40820892,165757550,0.0,1.0
2012-02-02,132.73,133.02,132.21,132.68,110.583235144,112910085,0.0,1.0
2012-02-03,134.0,134.62,133.77,134.54,112.133467412,160517202,0.0,1.0
2012-02-06,133.98,134.51,133.83,134.45,112.058456173,107517511,0.0,1.0
2012-02-07,134.17,135.02,133.64,134.79,112.341831964,135265501,0.0,1.0
2012-02-08,134.86,135.22,134.31,135.19,112.675215248,138506870,0.0,1.0
2012-02-09,135.41,135.59,134.56,135.36,112.816903143,148313299,0.0,1.0
2012-02-10,134.16,134.47,133.84,134.36,111.983444935,167753903,0.0,1.0
2012-02-13,135.32,135.52,134.74,135.36,112.816903143,115201853,0.0,1.0
2012-02-14,135.0,135.27,134.25,135.19,112.675215248,165300175,0.0,1.0
2012-02-15,135.63,135.83,134.29,134.56,112.150136576,194497951,0.0,1.0
2012-02-16,134.57,136.17,134.33,136.05,113.391989307,186193854,0.0,1.0
2012-02-17,136.52,136.63,135.96,136.41,113.692034263,129075063,0.0,1.0
2012-02-21,136.73,137.05,136.05,136.47,113.742041755,133899477,0.0,1.0
2012-02-22,136.26,136.55,135.79,136.03,113.375320143,123997265,0.0,1.0
2012-02-23,135.96,136.73,135.5,136.63,113.875395069,137488236,0.0,1.0
2012-02-24,136.93,137.2,136.63,136.93,114.125432531,105474533,0.0,1.0
2012-02-27,136.02,137.53,135.8,137.16,114.317127919,145563368,0.0,1.0
2012-02-28,137.2,137.72,136.93,137.56,114.650511203,129145619,0.0,1.0
2012-02-29,137.76,138.19,136.54,137.02,114.20044377,185615627,0.0,1.0
2012-03-01,137.31,137.99,136.93,137.73,114.792199098,144742785,0.0,1.0
2012-03-02,137.64,137.82,137.0,137.31,114.442146651,120536666,0.0,1.0
2012-03-05,137.1,137.2,136.28,136.75,113.975410054,140544479,0.0,1.0
2012-03-06,135.35,135.43,134.36,134.75,112.308493636,201787583,0.0,1.0
2012-03-07,135.06,135.91,134.93,135.69,113.091944352,143600783,0.0,1.0
2012-03-08,136.52,137.32,136.24,137.04,114.217112934,116712098,0.0,1.0
2012-03-09,137.3,137.93,137.13,137.57,114.658845785,122808966,0.0,1.0
2012-03-12,137.55,137.76,137.09,137.58,114.667180367,103873080,0.0,1.0
2012-03-13,138.32,140.13,138.09,140.06,116.734156725,183032814,0.0,1.0
2012-03-14,140.1,140.45,139.48,139.91,116.609137993,145034209,0.0,1.0
2012-03-15,140.12,140.78,139.76,140.72,117.284239143,164882424,0.0,1.0
2012-03-16,140.36,140.48,140.0,140.3,117.445838355,151779966,0.6139,1.0
2012-03-19,140.21,141.28,140.11,140.85,117.906246132,125211330,0.0,1.0
2012-03-20,140.05,140.61,139.64,140.44,117.563033062,121629293,0.0,1.0
2012-03-21,140.52,140.65,139.92,140.21,117.3704989,122251226,0.0,1.0
2012-03-22,139.18,139.55,138.74,139.2,116.525022801,135040700,0.0,1.0
2012-03-23,139.32,139.81,138.55,139.65,116.901720073,120400107,0.0,1.0
2012-03-26,140.65,141.61,140.6,141.61,118.542445969,119477129,0.0,1.0
2012-03-27,141.74,141.83,141.08,141.17,118.174119747,119584541,0.0,1.0
2012-03-28,141.1,141.32,139.64,140.47,117.588146213,148434044,0.0,1.0
2012-03-29,139.64,140.49,139.09,140.23,117.387241001,164884702,0.0,1.0
2012-03-30,140.92,141.05,140.05,140.81,117.87276193,135353643,0.0,1.0
2012-04-02,140.64,142.21,140.36,141.84,118.73498013,151598615,0.0,1.0
2012-04-03,141.64,141.88,140.43,141.26,118.249459202,155717384,0.0,1.0
2012-04-04,140.22,140.34,139.34,139.86,117.077512133,146781144,0.0,1.0
2012-04-05,139.38,140.2,139.26,139.79,117.01891478,137161910,0.0,1.0
2012-04-09,138.03,139.84,137.84,138.22,115.704659853,127440839,0.0,1.0
2012-04-10,137.95,138.34,135.76,135.9,113.76257614,235129361,0.0,1.0
2012-04-11,137.29,137.54,136.75,137.0,114.683391693,153297439,0.0,1.0
2012-04-12,137.13,138.9,137.03,138.79,116.181809731,153603844,0.0,1.0
2012-04-13,138.47,138.82,137.01,137.14,114.8005864,169047929,0.0,1.0
2012-04-16,137.84,138.04,136.58,137.05,114.725246946,147707377,0.0,1.0
2012-04-17,137.84,139.36,137.7,139.08,116.424570195,147627266,0.0,1.0
2012-04-18,138.46,139.08,138.38,138.61,116.031130822,122743959,0.0,1.0
2012-04-19,138.63,139.15,137.07,137.72,115.286107329,198512320,0.0,1.0
2012-04-20,138.33,138.83,137.87,137.95,115.47864149,142867082,0.0,1.0
2012-04-23,136.54,136.91,135.94,136.79,114.507599633,171710414,0.0,1.0
2012-04-24,136.91,137.66,136.8,137.31,114.942894259,137239318,0.0,1.0
2012-04-25,138.65,139.25,138.53,139.19,116.51665175,150143367,0.0,1.0
2012-04-26,138.89,140.32,138.81,140.16,117.328643648,135453146,0.0,1.0
2012-04-27,140.58,140.79,139.8,140.39,117.521177809,123902644,0.0,1.0
2012-04-30,140.11,140.21,139.49,139.87,117.085883184,115006285,0.0,1.0
2012-05-01,139.79,141.66,139.63,140.74,117.814164576,138747253,0.0,1.0
2012-05-02,139.92,140.46,139.46,140.32,117.462580456,120982449,0.0,1.0
2012-05-03,140.34,140.45,138.99,139.25,116.566878053,143518530,0.0,1.0
2012-05-04,138.52,139.3,136.92,137.0,114.683391693,193496350,0.0,1.0
2012-05-07,136.51,137.56,136.46,137.1,114.767102198,127664189,0.0,1.0
2012-05-08,136.28,136.77,134.92,136.55,114.306694421,213125597,0.0,1.0
2012-05-09,135.1,136.61,134.49,135.74,113.628639332,220525746,0.0,1.0
2012-05-10,136.68,136.85,135.71,136.02,113.863028746,150085682,0.0,1.0
2012-05-11,135.17,136.87,135.11,135.61,113.519815676,152988103,0.0,1.0
2012-05-14,134.31,135.61,133.91,134.11,112.264158102,163196962,0.0,1.0
2012-05-15,134.02,134.81,133.13,133.34,111.619587215,207288863,0.0,1.0
2012-05-16,133.94,134.55,132.8,132.83,111.19266364,206973192,0.0,1.0
2012-05-17,132.86,133.02,130.79,130.86,109.543566693,247684669,0.0,1.0
2012-05-18,131.37,131.6,129.55,129.74,108.606009039,319503709,0.0,1.0
2012-05-21,130.16,132.02,129.95,131.97,110.472753298,177733753,0.0,1.0
2012-05-22,132.31,133.23,131.34,132.2,110.665287459,197272169,0.0,1.0
2012-05-23,131.25,132.46,129.99,132.27,110.723884812,204667764,0.0,1.0
2012-05-24,132.63,132.84,131.42,132.53,110.941532125,167017765,0.0,1.0
2012-05-25,132.48,132.85,131.78,132.1,110.581576954,135393214,0.0,1.0
2012-05-29,133.16,133.93,131.17,133.7,111.920945032,152437330,0.0,1.0
2012-05-30,132.56,133.69,131.49,131.76,110.296961237,162154670,0.0,1.0
2012-05-31,131.71,132.45,130.34,131.47,110.054200773,195826754,0.0,1.0
2012-06-01,129.41,131.5,128.16,128.16,107.283383062,253063555,0.0,1.0
2012-06-04,128.39,128.74,127.14,128.1,107.233156759,202317540,0.0,1.0
2012-06-05,127.85,129.26,127.78,129.07,108.045148656,163687095,0.0,1.0
2012-06-06,129.97,132.03,129.93,131.97,110.472753298,183846801,0.0,1.0
2012-06-07,133.47,133.53,131.78,132.05,110.539721702,184597574,0.0,1.0
2012-06-08,131.71,133.13,131.29,133.1,111.418682003,143634224,0.0,1.0
2012-06-11,134.17,134.25,131.28,131.41,110.00397447,169457174,0.0,1.0
2012-06-12,131.79,133.01,131.16,132.92,111.268003094,181773014,0.0,1.0
2012-06-13,132.53,133.36,131.62,132.07,110.556463803,171953597,0.0,1.0
2012-06-14,132.34,134.0,131.98,133.47,111.728410871,230470410,0.0,1.0
2012-06-15,133.38,134.26,133.1,134.14,112.865417175,169104512,0.6883,1.0
2012-06-18,133.58,134.73,133.28,134.4,113.084181216,131154924,0.0,1.0
2012-06-19,135.08,136.25,134.37,135.7,114.178001421,137213470,0.0,1.0
2012-06-20,135.71,136.1,134.27,135.48,113.992893386,206299494,0.0,1.0
2012-06-21,135.64,135.78,132.33,132.44,111.435036906,205129421,0.0,1.0
2012-06-22,133.13,133.71,132.62,133.46,112.293265067,129848438,0.0,1.0
2012-06-25,132.05,132.1,130.85,131.32,110.49266873,146248554,0.0,1.0
2012-06-26,131.7,132.38,130.93,131.98,111.047992834,141386194,0.0,1.0
2012-06-27,132.42,133.43,131.97,133.17,112.049259022,107982307,0.0,1.0
2012-06-28,132.29,132.99,131.28,132.79,111.729526962,168941315,0.0,1.0
2012-06-29,135.2,136.27,134.85,136.1,114.514561484,212056876,0.0,1.0
2012-07-02,136.48,136.65,135.52,136.51,114.859535549,129049181,0.0,1.0
2012-07-03,136.48,137.51,136.34,137.41,115.616795691,80450171,0.0,1.0
2012-07-05,136.9,137.8,136.29,136.79,115.095127593,126024304,0.0,1.0
2012-07-06,135.47,135.77,134.85,135.49,114.001307388,151120499,0.0,1.0
2012-07-09,135.38,135.57,134.7,135.32,113.858269361,103703827,0.0,1.0
2012-07-10,136.01,136.23,133.68,134.14,112.865417175,162748754,0.0,1.0
2012-07-11,134.21,134.6,133.38,134.16,112.882245178,142460464,0.0,1.0
2012-07-12,133.38,134.23,132.6,133.51,112.335335075,143428183,0.0,1.0
2012-07-13,133.86,135.89,133.84,135.75,114.220071429,129613009,0.0,1.0
2012-07-16,135.44,135.83,134.9,135.43,113.950823378,97413111,0.0,1.0
2012-07-17,135.97,136.64,134.55,136.36,114.733325525,138576451,0.0,1.0
2012-07-18,136.04,137.64,135.96,137.37,115.583139685,113247909,0.0,1.0
2012-07-19,137.65,138.18,137.21,137.73,115.886043741,129742249,0.0,1.0
2012-07-20,136.95,137.16,136.32,136.47,114.825879542,142813020,0.0,1.0
